Speech data from:
Auer, R., Cornelli, G. & Frost, J. (2020), Rise of the central bank digital currencies: drivers,
approaches and technologies, BIS Working Paper 880, Bank for International Settlements.
URL: https://econpapers.repec.org/paper/bisbiswps/880.htm

Country,ISO-2,Date,Speech stance
Hong Kong SAR,HK,6/8/2021,1
Sweden,SE,5/31/2021,1
Germany,DE,6/10/2021,1
Germany,DE,6/15/2021,0
United Kingdom,GB,6/15/2021,0
Spain,ES,6/16/2021,0
Germany,DE,6/17/2021,0
United Kingdom,GB,6/21/2021,0
United Kingdom,GB,6/30/2021,0
United Kingdom,GB,6/10/2021,1
Finland,FI,7/1/2021,0
Italy,IT,6/28/2021,1
United States,US,6/28/2021,0
France,FR,6/29/2021,1
Singapore,SG,6/28/2021,0
France,FR,7/12/2021,1
Italy,IT,7/12/2021,1
Mexico,MX,7/28/2021,0
Ireland,IE,7/29/2021,1
United States,US,8/5/2021,-1
Germany,DE,7/1/2021,0
Thailand,TH,8/25/2021,1
United Kingdom,GB,9/13/2021,0
China,CN,9/18/2021,0
Mexico,MX,10/7/2021,1
France,FR,9/30/2021,1
France,FR,10/11/2021,1
France,FR,11/8/2021,1
Germany,DE,11/3/2021,1
Germany,DE,11/10/2021,0
France,FR,11/19/2021,1
Spain,ES,11/15/2021,0
Italy,IT,11/10/2021,0
France,FR,11/25/2021,1
Albania,AL,12/6/2021,0
Hong Kong SAR,HK,12/9/2021,1
Australia,AU,12/9/2021,1
Netherlands,NL,12/9/2021,0
China,CN,12/9/2021,1
Finland,FI,10/20/2021,0
North Macedonia,MK,12/9/2021,0
